metric	label	Hydrophis major	Hydrophis curtus (East)	Hydrophis curtus (West)	Hydrophis cyanocinctus	Hydrophis ornatus
compleasm_lineage	compleasm_lineage	squamata_odb12	squamata_odb12	squamata_odb12	squamata_odb12	squamata_odb12
compleasm_N	compleasm_N	11294	11294	11294	11294	11294
compleasm_C_n	compleasm_C_n	11057	11079	11008	11063	11081
compleasm_C_pct	Compleasm Complete % (S+D)	97.91	98.09	97.47	97.95	98.11
compleasm_S_n	compleasm_S_n	4307	4362	4346	4371	4338
compleasm_S_pct	Compleasm Single %	38.14	38.62	38.48	38.7	38.41
compleasm_D_n	compleasm_D_n	6750	6717	6662	6692	6743
compleasm_D_pct	Compleasm Duplicated % (isoform-inflated)	59.77	59.47	58.99	59.25	59.7
compleasm_F_n	compleasm_F_n	68	61	64	69	65
compleasm_F_pct	Compleasm Fragmented %	0.6	0.54	0.57	0.61	0.58
compleasm_M_n	compleasm_M_n	169	154	222	162	148
compleasm_M_pct	Compleasm Missing %	1.5	1.36	1.97	1.43	1.31
psauron_cds_score	PSAURON CDS score	95.9	96.0	95.9	96.0	96.1
psauron_protein_score	PSAURON protein score	95.9	96.0	96.0	96.0	96.1
cpg_total	CpG islands (chromosomes)	388453	359337	429650	383960	393053
cpg_n_chromosomes	cpg_n_chromosomes	8	8	8	8	8
cpg_ch1	cpg_ch1	88317	88222	97857	89865	91865
cpg_ch2	cpg_ch2	75407	68481	81711	75031	77371
cpg_ch3	cpg_ch3	53629	53791	59023	53583	55194
cpg_ch4	cpg_ch4	42335	30984	50477	39202	37499
cpg_ch5	cpg_ch5	41269	40914	45392	42749	43003
cpg_ch7	cpg_ch7	27105	28627	30382	28037	28705
cpg_ch8	cpg_ch8	22619	17789	22388	19346	19393
cpg_chZ	cpg_chZ	37772	30529	42420	36147	40023
agat_mrna_cds	agat_mrna_cds	52229	51449	51188	51081	51335
gffutils_gene_unknown_count	gffutils_gene_unknown_count	22445	21847	22305	21662	21937
eviann_unknown	eviann unknown function	4415	3315	4359	4118	4173
